Station_name    Latitude    Longitude   Elevation_km
ch_0001 14.17049257315531 40.81634864544189 0.
ch_0002 14.16980227859018 40.8239258364621 0.
ch_0003 14.16296057590975 40.8247060120882 0.
ch_0004 14.15928618422575 40.821149705024 0.
ch_0005 14.14372587073796 40.8221224763269 0.
ch_0006 14.1421672223322 40.82380239690659 0.
ch_0007 14.13794788365012 40.82324541267439 0.
ch_0008 14.12967547054056 40.8300776784229 0.
ch_0009 14.12403424018815 40.82585034221831 0.
ch_0010 14.10648423430878 40.83446811718621 0.
ch_0011 14.10186137703357 40.83295558102449 0.
ch_0012 14.10186137703357 40.83295558102449 0.
ch_0013 14.09832010514109 40.83418037754242 0.
ch_0014 14.08443236342754 40.83017360468712 0.
ch_0015 14.07423466379015 40.82949304415006 0.
ch_0016 14.07315851028986 40.82704897343533 0.
ch_0017 14.05975924528988 40.82630920319738 0.
ch_0018 14.06109214997196 40.82100696089969 0.
ch_0019 14.06987688498451 40.81939677612144 0.
ch_0020 14.07254446799677 40.82151703009108 0.
ch_0021 14.07077234374045 40.81709262335675 0.
ch_0022 14.0799546726295 40.80950205138794 0.
ch_0023 14.0769048298387 40.79856375374555 0.
ch_0024 14.06907693802753 40.79799969300839 0.
