EventName OriginTime Latitude(deg) Longitude(deg) Depth(km) Magnitude Strike Dip Rake
flegrei_2018_09_18_21_36_41 2018-09-18T21:36:41.940Z 40.827499 14.148 1373.456976 2.05404 133.2354189331844 89.43762727710667 -150.53478732954542
flegrei_2019_03_15_04_26_41 2019-03-15T04:26:41.820Z 40.828671 14.1485 3548.05991 2.72327 232.01065430089866 57.3612207975761 -57.75287722054742
flegrei_2019_12_06_00_17_23 2019-12-06T00:17:23.780Z 40.83017 14.14933 2031.17981 2.63928 276.0949074905593 61.25366397223426 -43.62413888830354
flegrei_2020_04_08_00_50_29 2020-04-08T00:50:29.280Z 40.826672 14.143 1673.32514 2.11632 73.93957006654456 75.61862925107827 -58.14309039209227
flegrei_2020_04_26_02_41_13 2020-04-26T02:41:13.570Z 40.829498 14.14817 4335.94159 2.71016 42.974997729139666 65.45040583971458 -63.404655594222355
flegrei_2020_04_26_02_59_02 2020-04-26T02:59:02.450Z 40.82917 14.15 4234.717955 2.99582 40.28658641472295 55.47236970269144 -66.86003540372285
flegrei_2020_12_28_08_09_43 2020-12-28T08:09:43.020Z 40.831329 14.14583 1832.832427 2.26706 130.53874274702378 57.20952603208982 -127.6602174012022
flegrei_2022_03_16_14_14_34 2022-03-16T14:14:34.800Z 40.8283 14.1352 3179.778061 3.32373 164.25305694267018 44.287305508228336 -91.5576654543112
flegrei_2022_03_29_17_45_32 2022-03-29T17:45:32.360Z 40.8293 14.1507 2677.363064 2.7527 244.7155720052329 63.3753076620754 -124.73122957444438
flegrei_2022_04_19_02_05_54 2022-04-19T02:05:54.300Z 40.828201 14.1422 1424.115204 2.41109 143.2721384294478 69.34783966611928 -127.97512425358734
flegrei_2022_07_30_03_27_48 2022-07-30T03:27:48.930Z 40.827301 14.1402 1513.736259 1.93351 83.18191541908044 60.534954111959465 -67.84965846930766
flegrei_2022_11_12_21_37_54 2022-11-12T21:37:54.760Z 40.809799 14.1172 3660.501575 2.60153 261.1005615835282 54.84077027744613 -126.54437568434635
flegrei_2023_01_19_08_44_30 2023-01-19T08:44:30.190Z 40.827202 14.1338 2850.328633 2.49231 73.08935843111878 54.22250575711786 -65.20282562903053
flegrei_2023_02_05_00_45_36 2023-02-05T00:45:36.160Z 40.8032 14.1108 3755.565647 2.88801 106.06027585473542 56.442806540712674 -85.5650703510899
flegrei_2023_03_04_13_15_20 2023-03-04T13:15:20.410Z 40.831799 14.1247 4017.963339 2.45904 254.5940201557624 59.56267521219297 -112.38762033736182
flegrei_2023_03_13_22_40_53 2023-03-13T22:40:53.580Z 40.8358 14.1402 2650.135795 2.50747 268.33309649192023 52.977136505217814 -94.45149184382436
flegrei_2023_03_24_05_24_43 2023-03-24T05:24:43.090Z 40.828701 14.1477 2194.906376 2.50752 249.29600495712782 66.00577888797169 -94.15402020335104
flegrei_2023_04_10_03_54_45 2023-04-10T03:54:45.480Z 40.835701 14.1417 3382.141648 2.65767 261.6846286714781 57.841787277551745 -83.50178660421321
flegrei_2023_04_23_00_35_20 2023-04-23T00:35:20.680Z 40.82 14.1463 1126.214071 1.68799 48.38835171819867 74.36137727484349 67.37862574833517
flegrei_2023_05_08_02_28_34 2023-05-08T02:28:34.260Z 40.827702 14.1402 3338.307887 2.94584 226.7145880503482 59.39569501774843 -108.65155203771027
flegrei_2023_05_08_22_33_17 2023-05-08T22:33:17.410Z 40.824799 14.1377 1252.48049 2.08016 213.2745689204597 65.73050623691789 -102.19940047934931
flegrei_2023_06_11_06_44_25 2023-06-11T06:44:25.720Z 40.834301 14.1102 3554.166524 2.926 299.5760398153681 59.77765965325947 -47.272413230432925
flegrei_2023_06_15_15_39_40 2023-06-15T15:39:40.320Z 40.831501 14.1402 3240.938159 2.6201 261.5910081942549 52.9756502392779 -98.91965025569577
flegrei_2023_08_18_04_10_30 2023-08-18T04:10:30.410Z 40.827702 14.1517 3190.169223 2.97347 270.6154096004083 63.76540338559103 -62.12157823646084
flegrei_2023_08_18_04_18_05 2023-08-18T04:18:05.660Z 40.831501 14.1375 2388.347237 3.20501 88.49743611014296 40.92077531326308 -58.58589628698804
flegrei_2023_08_18_04_22_49 2023-08-18T04:22:49.850Z 40.8297 14.1387 2032.579895 2.64909 100.58606495973889 59.28014509576405 -83.01785122348424
flegrei_2023_08_27_21_14_23 2023-08-27T21:14:23.450Z 40.801998 14.1142 3529.743809 2.59813 282.4861382276416 61.543264181777865 -93.65730161570283
flegrei_2023_09_07_17_45_28 2023-09-07T17:45:28.780Z 40.831299 14.1465 3058.2989 3.44487 270.08015925491725 54.27375645333988 -65.54717760003072
flegrei_2023_09_12_02_28_50 2023-09-12T02:28:50.200Z 40.828 14.139167 1751.935768 2.2102 34.23890601901219 55.23650067363866 -65.06679665301034
flegrei_2023_09_22_09_01_59 2023-09-22T09:01:59.950Z 40.8315 14.143167 2011.982587 2.74333 95.31750324539507 47.84298810578887 -70.89338903656595
flegrei_2023_09_24_15_35_02 2023-09-24T15:35:02.029Z 40.814 14.153667 3635.932181 2.63466 198.7236851493812 44.256427236047095 -83.48699403718499
